kernel,Outer,Inner,Iter,VarDecl,refExpr,intLiteral,floatLiteral,mem_to,mem_from,add_sub_int,add_sub_double,mul_int,mul_double,div_double,assign_int,assign_double,runtime1,runtime
35,40,45,1800,2,286,73,1,0,0,106,35,71,35,0,1,37,699,0.000699
35,40,545,21800,2,286,73,1,0,0,106,35,71,35,0,1,37,359,0.000359
35,40,1045,41800,2,286,73,1,0,0,106,35,71,35,0,1,37,703,0.000703
35,40,1545,61800,2,286,73,1,0,0,106,35,71,35,0,1,37,1079,0.001079
35,40,2045,81800,2,286,73,1,0,0,106,35,71,35,0,1,37,1406,0.001406
35,40,2545,101800,2,286,73,1,0,0,106,35,71,35,0,1,37,1770,0.00177
35,40,3045,121800,2,286,73,1,0,0,106,35,71,35,0,1,37,2103,0.002103
35,40,3545,141800,2,286,73,1,0,0,106,35,71,35,0,1,37,2474,0.002474
35,40,4045,161800,2,286,73,1,0,0,106,35,71,35,0,1,37,2341,0.002341
35,40,4545,181800,2,286,73,1,0,0,106,35,71,35,0,1,37,2962,0.002962
35,40,5045,201800,2,286,73,1,0,0,106,35,71,35,0,1,37,3319,0.003319
35,40,5545,221800,2,286,73,1,0,0,106,35,71,35,0,1,37,3546,0.003546
35,40,6045,241800,2,286,73,1,0,0,106,35,71,35,0,1,37,3925,0.003925
35,40,6545,261800,2,286,73,1,0,0,106,35,71,35,0,1,37,3995,0.003995
35,40,7045,281800,2,286,73,1,0,0,106,35,71,35,0,1,37,4183,0.004183
535,40,45,1800,2,4286,1073,1,0,0,1606,535,1071,535,0,1,537,304,0.000304
535,40,545,21800,2,4286,1073,1,0,0,1606,535,1071,535,0,1,537,3803,0.003803
535,40,1045,41800,2,4286,1073,1,0,0,1606,535,1071,535,0,1,537,8162,0.008162
535,40,1545,61800,2,4286,1073,1,0,0,1606,535,1071,535,0,1,537,11364,0.011364
535,40,2045,81800,2,4286,1073,1,0,0,1606,535,1071,535,0,1,537,13849,0.013849
535,40,2545,101800,2,4286,1073,1,0,0,1606,535,1071,535,0,1,537,16310,0.01631
535,40,3045,121800,2,4286,1073,1,0,0,1606,535,1071,535,0,1,537,17023,0.017023
535,40,3545,141800,2,4286,1073,1,0,0,1606,535,1071,535,0,1,537,20301,0.020301
535,40,4045,161800,2,4286,1073,1,0,0,1606,535,1071,535,0,1,537,23330,0.02333
535,40,4545,181800,2,4286,1073,1,0,0,1606,535,1071,535,0,1,537,25995,0.025995
535,40,5045,201800,2,4286,1073,1,0,0,1606,535,1071,535,0,1,537,28333,0.028333
535,40,5545,221800,2,4286,1073,1,0,0,1606,535,1071,535,0,1,537,31118,0.031118
535,40,6045,241800,2,4286,1073,1,0,0,1606,535,1071,535,0,1,537,33946,0.033946
535,40,6545,261800,2,4286,1073,1,0,0,1606,535,1071,535,0,1,537,36787,0.036787
535,40,7045,281800,2,4286,1073,1,0,0,1606,535,1071,535,0,1,537,39554,0.039554
1035,40,45,1800,2,8286,2073,1,0,0,3106,1035,2071,1035,0,1,1037,491,0.000491
1035,40,545,21800,2,8286,2073,1,0,0,3106,1035,2071,1035,0,1,1037,5971,0.005971
1035,40,1045,41800,2,8286,2073,1,0,0,3106,1035,2071,1035,0,1,1037,11277,0.011277
1035,40,1545,61800,2,8286,2073,1,0,0,3106,1035,2071,1035,0,1,1037,16781,0.016781
1035,40,2045,81800,2,8286,2073,1,0,0,3106,1035,2071,1035,0,1,1037,22092,0.022092
1035,40,2545,101800,2,8286,2073,1,0,0,3106,1035,2071,1035,0,1,1037,27492,0.027492
1035,40,3045,121800,2,8286,2073,1,0,0,3106,1035,2071,1035,0,1,1037,32851,0.032851
1035,40,3545,141800,2,8286,2073,1,0,0,3106,1035,2071,1035,0,1,1037,38981,0.038981
1035,40,4045,161800,2,8286,2073,1,0,0,3106,1035,2071,1035,0,1,1037,44516,0.044516
1035,40,4545,181800,2,8286,2073,1,0,0,3106,1035,2071,1035,0,1,1037,70947,0.070947
1035,40,5045,201800,2,8286,2073,1,0,0,3106,1035,2071,1035,0,1,1037,108378,0.108378
1035,40,5545,221800,2,8286,2073,1,0,0,3106,1035,2071,1035,0,1,1037,133763,0.133763
1035,40,6045,241800,2,8286,2073,1,0,0,3106,1035,2071,1035,0,1,1037,148630,0.14863
1035,40,6545,261800,2,8286,2073,1,0,0,3106,1035,2071,1035,0,1,1037,169785,0.169785
1035,40,7045,281800,2,8286,2073,1,0,0,3106,1035,2071,1035,0,1,1037,182811,0.182811
1535,40,45,1800,2,12286,3073,1,0,0,4606,1535,3071,1535,0,1,1537,662,0.000662
1535,40,545,21800,2,12286,3073,1,0,0,4606,1535,3071,1535,0,1,1537,8095,0.008095
1535,40,1045,41800,2,12286,3073,1,0,0,4606,1535,3071,1535,0,1,1537,15490,0.01549
1535,40,1545,61800,2,12286,3073,1,0,0,4606,1535,3071,1535,0,1,1537,22798,0.022798
1535,40,2045,81800,2,12286,3073,1,0,0,4606,1535,3071,1535,0,1,1537,29793,0.029793
1535,40,2545,101800,2,12286,3073,1,0,0,4606,1535,3071,1535,0,1,1537,37460,0.03746
1535,40,3045,121800,2,12286,3073,1,0,0,4606,1535,3071,1535,0,1,1537,65637,0.065637
1535,40,3545,141800,2,12286,3073,1,0,0,4606,1535,3071,1535,0,1,1537,113904,0.113904
1535,40,4045,161800,2,12286,3073,1,0,0,4606,1535,3071,1535,0,1,1537,146665,0.146665
1535,40,4545,181800,2,12286,3073,1,0,0,4606,1535,3071,1535,0,1,1537,175197,0.175197
1535,40,5045,201800,2,12286,3073,1,0,0,4606,1535,3071,1535,0,1,1537,201480,0.20148
1535,40,5545,221800,2,12286,3073,1,0,0,4606,1535,3071,1535,0,1,1537,226955,0.226955
1535,40,6045,241800,2,12286,3073,1,0,0,4606,1535,3071,1535,0,1,1537,243915,0.243915
1535,40,6545,261800,2,12286,3073,1,0,0,4606,1535,3071,1535,0,1,1537,265627,0.265627
1535,40,7045,281800,2,12286,3073,1,0,0,4606,1535,3071,1535,0,1,1537,283649,0.283649
2035,40,45,1800,2,16286,4073,1,0,0,6106,2035,4071,2035,0,1,2037,1438,0.001438
2035,40,545,21800,2,16286,4073,1,0,0,6106,2035,4071,2035,0,1,2037,11685,0.011685
2035,40,1045,41800,2,16286,4073,1,0,0,6106,2035,4071,2035,0,1,2037,21140,0.02114
2035,40,1545,61800,2,16286,4073,1,0,0,6106,2035,4071,2035,0,1,2037,30856,0.030856
2035,40,2045,81800,2,16286,4073,1,0,0,6106,2035,4071,2035,0,1,2037,44420,0.04442
2035,40,2545,101800,2,16286,4073,1,0,0,6106,2035,4071,2035,0,1,2037,97323,0.097323
2035,40,3045,121800,2,16286,4073,1,0,0,6106,2035,4071,2035,0,1,2037,141475,0.141475
2035,40,3545,141800,2,16286,4073,1,0,0,6106,2035,4071,2035,0,1,2037,178321,0.178321
2035,40,4045,161800,2,16286,4073,1,0,0,6106,2035,4071,2035,0,1,2037,215156,0.215156
2035,40,4545,181800,2,16286,4073,1,0,0,6106,2035,4071,2035,0,1,2037,246205,0.246205
2035,40,5045,201800,2,16286,4073,1,0,0,6106,2035,4071,2035,0,1,2037,270723,0.270723
2035,40,5545,221800,2,16286,4073,1,0,0,6106,2035,4071,2035,0,1,2037,297942,0.297942
2035,40,6045,241800,2,16286,4073,1,0,0,6106,2035,4071,2035,0,1,2037,319216,0.319216
2035,40,6545,261800,2,16286,4073,1,0,0,6106,2035,4071,2035,0,1,2037,355345,0.355345
2035,40,7045,281800,2,16286,4073,1,0,0,6106,2035,4071,2035,0,1,2037,385587,0.385587
2535,40,45,1800,2,20286,5073,1,0,0,7606,2535,5071,2535,0,1,2537,1278,0.001278
2535,40,545,21800,2,20286,5073,1,0,0,7606,2535,5071,2535,0,1,2537,16494,0.016494
2535,40,1045,41800,2,20286,5073,1,0,0,7606,2535,5071,2535,0,1,2537,26804,0.026804
2535,40,1545,61800,2,20286,5073,1,0,0,7606,2535,5071,2535,0,1,2537,39950,0.03995
2535,40,2045,81800,2,20286,5073,1,0,0,7606,2535,5071,2535,0,1,2537,95573,0.095573
2535,40,2545,101800,2,20286,5073,1,0,0,7606,2535,5071,2535,0,1,2537,146253,0.146253
2535,40,3045,121800,2,20286,5073,1,0,0,7606,2535,5071,2535,0,1,2537,196777,0.196777
2535,40,3545,141800,2,20286,5073,1,0,0,7606,2535,5071,2535,0,1,2537,243675,0.243675
2535,40,4045,161800,2,20286,5073,1,0,0,7606,2535,5071,2535,0,1,2537,268431,0.268431
2535,40,4545,181800,2,20286,5073,1,0,0,7606,2535,5071,2535,0,1,2537,301834,0.301834
2535,40,5045,201800,2,20286,5073,1,0,0,7606,2535,5071,2535,0,1,2537,349856,0.349856
