kernel,Outer,Inner,Iter,VarDecl,refExpr,intLiteral,floatLiteral,mem_to,mem_from,add_sub_int,add_sub_double,mul_int,mul_double,div_double,assign_int,assign_double,runtime1,runtime
39,43,41,1763,2,318,81,1,40312,40312,118,39,79,39,0,1,41,7100,0.0071
539,43,41,1763,2,4318,1081,1,376312,376312,1618,539,1079,539,0,1,541,3372,0.003372
1039,43,41,1763,2,8318,2081,1,712312,712312,3118,1039,2079,1039,0,1,1041,13121,0.013121
1539,43,41,1763,2,12318,3081,1,1048312,1048312,4618,1539,3079,1539,0,1,1541,6049,0.006049
2039,43,41,1763,2,16318,4081,1,1384312,1384312,6118,2039,4079,2039,0,1,2041,7693,0.007693
2539,43,41,1763,2,20318,5081,1,1720312,1720312,7618,2539,5079,2539,0,1,2541,9449,0.009449
3039,43,41,1763,2,24318,6081,1,2056312,2056312,9118,3039,6079,3039,0,1,3041,3292,0.003292
3539,43,41,1763,2,28318,7081,1,2392312,2392312,10618,3539,7079,3539,0,1,3541,12675,0.012675
4039,43,41,1763,2,32318,8081,1,2728312,2728312,12118,4039,8079,4039,0,1,4041,15744,0.015744
4539,43,41,1763,2,36318,9081,1,3064312,3064312,13618,4539,9079,4539,0,1,4541,15524,0.015524
5039,43,41,1763,2,40318,10081,1,3400312,3400312,15118,5039,10079,5039,0,1,5041,17154,0.017154
5539,43,41,1763,2,44318,11081,1,3736312,3736312,16618,5539,11079,5539,0,1,5541,18385,0.018385
6039,43,41,1763,2,48318,12081,1,4072312,4072312,18118,6039,12079,6039,0,1,6041,2044,0.002044
6539,43,41,1763,2,52318,13081,1,4408312,4408312,19618,6539,13079,6539,0,1,6541,19479,0.019479
7039,43,41,1763,2,56318,14081,1,4744312,4744312,21118,7039,14079,7039,0,1,7041,22622,0.022622
35,40,45,1800,2,286,73,1,38200,38200,106,35,71,35,0,1,37,2220,0.00222
535,40,45,1800,2,4286,1073,1,378200,378200,1606,535,1071,535,0,1,537,3413,0.003413
1035,40,45,1800,2,8286,2073,1,718200,718200,3106,1035,2071,1035,0,1,1037,4786,0.004786
1535,40,45,1800,2,12286,3073,1,1058200,1058200,4606,1535,3071,1535,0,1,1537,5842,0.005842
2035,40,45,1800,2,16286,4073,1,1398200,1398200,6106,2035,4071,2035,0,1,2037,7501,0.007501
2535,40,45,1800,2,20286,5073,1,1738200,1738200,7606,2535,5071,2535,0,1,2537,8817,0.008817
3035,40,45,1800,2,24286,6073,1,2078200,2078200,9106,3035,6071,3035,0,1,3037,881,0.000881
3535,40,45,1800,2,28286,7073,1,2418200,2418200,10606,3535,7071,3535,0,1,3537,12571,0.012571
4035,40,45,1800,2,32286,8073,1,2758200,2758200,12106,4035,8071,4035,0,1,4037,14577,0.014577
4535,40,45,1800,2,36286,9073,1,3098200,3098200,13606,4535,9071,4535,0,1,4537,14945,0.014945
5035,40,45,1800,2,40286,10073,1,3438200,3438200,15106,5035,10071,5035,0,1,5037,16917,0.016917
5535,40,45,1800,2,44286,11073,1,3778200,3778200,16606,5535,11071,5535,0,1,5537,17825,0.017825
6035,40,45,1800,2,48286,12073,1,4118200,4118200,18106,6035,12071,6035,0,1,6037,19951,0.019951
6535,40,45,1800,2,52286,13073,1,4458200,4458200,19606,6535,13071,6535,0,1,6537,20754,0.020754
7035,40,45,1800,2,56286,14073,1,4798200,4798200,21106,7035,14071,7035,0,1,7037,22250,0.02225
40,50,40,2000,2,326,83,1,44800,44800,121,40,81,40,0,1,42,8249,0.008249
440,50,40,2000,2,3526,883,1,332800,332800,1321,440,881,440,0,1,442,3530,0.00353
840,50,40,2000,2,6726,1683,1,620800,620800,2521,840,1681,840,0,1,842,3531,0.003531
1240,50,40,2000,2,9926,2483,1,908800,908800,3721,1240,2481,1240,0,1,1242,13852,0.013852
1640,50,40,2000,2,13126,3283,1,1196800,1196800,4921,1640,3281,1640,0,1,1642,204,0.000204
2040,50,40,2000,2,16326,4083,1,1484800,1484800,6121,2040,4081,2040,0,1,2042,8591,0.008591
2440,50,40,2000,2,19526,4883,1,1772800,1772800,7321,2440,4881,2440,0,1,2442,8785,0.008785
2840,50,40,2000,2,22726,5683,1,2060800,2060800,8521,2840,5681,2840,0,1,2842,9822,0.009822
3240,50,40,2000,2,25926,6483,1,2348800,2348800,9721,3240,6481,3240,0,1,3242,11534,0.011534
3640,50,40,2000,2,29126,7283,1,2636800,2636800,10921,3640,7281,3640,0,1,3642,12738,0.012738
4040,50,40,2000,2,32326,8083,1,2924800,2924800,12121,4040,8081,4040,0,1,4042,13810,0.01381
4440,50,40,2000,2,35526,8883,1,3212800,3212800,13321,4440,8881,4440,0,1,4442,15532,0.015532
4840,50,40,2000,2,38726,9683,1,3500800,3500800,14521,4840,9681,4840,0,1,4842,14987,0.014987
5240,50,40,2000,2,41926,10483,1,3788800,3788800,15721,5240,10481,5240,0,1,5242,17528,0.017528
5640,50,40,2000,2,45126,11283,1,4076800,4076800,16921,5640,11281,5640,0,1,5642,18550,0.01855
6040,50,40,2000,2,48326,12083,1,4364800,4364800,18121,6040,12081,6040,0,1,6042,20129,0.020129
6440,50,40,2000,2,51526,12883,1,4652800,4652800,19321,6440,12881,6440,0,1,6442,20774,0.020774
6840,50,40,2000,2,54726,13683,1,4940800,4940800,20521,6840,13681,6840,0,1,6842,23055,0.023055
44,53,55,2915,2,358,91,1,61336,61336,133,44,89,44,0,1,46,5217,0.005217
544,53,55,2915,2,4358,1091,1,493336,493336,1633,544,1089,544,0,1,546,4135,0.004135
1044,53,55,2915,2,8358,2091,1,925336,925336,3133,1044,2089,1044,0,1,1046,6156,0.006156
1544,53,55,2915,2,12358,3091,1,1357336,1357336,4633,1544,3089,1544,0,1,1546,7238,0.007238
2044,53,55,2915,2,16358,4091,1,1789336,1789336,6133,2044,4089,2044,0,1,2046,7624,0.007624
2544,53,55,2915,2,20358,5091,1,2221336,2221336,7633,2544,5089,2544,0,1,2546,25450,0.02545
3044,53,55,2915,2,24358,6091,1,2653336,2653336,9133,3044,6089,3044,0,1,3046,11617,0.011617
3544,53,55,2915,2,28358,7091,1,3085336,3085336,10633,3544,7089,3544,0,1,3546,12532,0.012532
4044,53,55,2915,2,32358,8091,1,3517336,3517336,12133,4044,8089,4044,0,1,4046,14045,0.014045
4544,53,55,2915,2,36358,9091,1,3949336,3949336,13633,4544,9089,4544,0,1,4546,15505,0.015505
5044,53,55,2915,2,40358,10091,1,4381336,4381336,15133,5044,10089,5044,0,1,5046,16999,0.016999
5544,53,55,2915,2,44358,11091,1,4813336,4813336,16633,5544,11089,5544,0,1,5546,18494,0.018494
6044,53,55,2915,2,48358,12091,1,5245336,5245336,18133,6044,12089,6044,0,1,6046,19956,0.019956
6544,53,55,2915,2,52358,13091,1,5677336,5677336,19633,6544,13089,6544,0,1,6546,21930,0.02193
7044,53,55,2915,2,56358,14091,1,6109336,6109336,21133,7044,14089,7044,0,1,7046,22962,0.022962
55,55,65,3575,2,446,113,1,81400,81400,166,55,111,55,0,1,57,6852,0.006852
455,55,65,3575,2,3646,913,1,465400,465400,1366,455,911,455,0,1,457,3554,0.003554
855,55,65,3575,2,6846,1713,1,849400,849400,2566,855,1711,855,0,1,857,3962,0.003962
1255,55,65,3575,2,10046,2513,1,1233400,1233400,3766,1255,2511,1255,0,1,1257,4366,0.004366
1655,55,65,3575,2,13246,3313,1,1617400,1617400,4966,1655,3311,1655,0,1,1657,6983,0.006983
2055,55,65,3575,2,16446,4113,1,2001400,2001400,6166,2055,4111,2055,0,1,2057,8545,0.008545
2455,55,65,3575,2,19646,4913,1,2385400,2385400,7366,2455,4911,2455,0,1,2457,669,0.000669
2855,55,65,3575,2,22846,5713,1,2769400,2769400,8566,2855,5711,2855,0,1,2857,11254,0.011254
3255,55,65,3575,2,26046,6513,1,3153400,3153400,9766,3255,6511,3255,0,1,3257,12706,0.012706
3655,55,65,3575,2,29246,7313,1,3537400,3537400,10966,3655,7311,3655,0,1,3657,14833,0.014833
4055,55,65,3575,2,32446,8113,1,3921400,3921400,12166,4055,8111,4055,0,1,4057,13831,0.013831
4455,55,65,3575,2,35646,8913,1,4305400,4305400,13366,4455,8911,4455,0,1,4457,16680,0.01668
4855,55,65,3575,2,38846,9713,1,4689400,4689400,14566,4855,9711,4855,0,1,4857,18172,0.018172
5255,55,65,3575,2,42046,10513,1,5073400,5073400,15766,5255,10511,5255,0,1,5257,19265,0.019265
5655,55,65,3575,2,45246,11313,1,5457400,5457400,16966,5655,11311,5655,0,1,5657,21180,0.02118
6055,55,65,3575,2,48446,12113,1,5841400,5841400,18166,6055,12111,6055,0,1,6057,25399,0.025399
6455,55,65,3575,2,51646,12913,1,6225400,6225400,19366,6455,12911,6455,0,1,6457,24113,0.024113
6855,55,65,3575,2,54846,13713,1,6609400,6609400,20566,6855,13711,6855,0,1,6857,25075,0.025075
40,300,40,12000,2,326,83,1,204800,204800,121,40,81,40,0,1,42,1100,0.0011
440,300,40,12000,2,3526,883,1,1292800,1292800,1321,440,881,440,0,1,442,3446,0.003446
840,300,40,12000,2,6726,1683,1,2380800,2380800,2521,840,1681,840,0,1,842,5459,0.005459
1240,300,40,12000,2,9926,2483,1,3468800,3468800,3721,1240,2481,1240,0,1,1242,7126,0.007126
1640,300,40,12000,2,13126,3283,1,4556800,4556800,4921,1640,3281,1640,0,1,1642,9010,0.00901
2040,300,40,12000,2,16326,4083,1,5644800,5644800,6121,2040,4081,2040,0,1,2042,10719,0.010719
2440,300,40,12000,2,19526,4883,1,6732800,6732800,7321,2440,4881,2440,0,1,2442,12588,0.012588
2840,300,40,12000,2,22726,5683,1,7820800,7820800,8521,2840,5681,2840,0,1,2842,14692,0.014692
3240,300,40,12000,2,25926,6483,1,8908800,8908800,9721,3240,6481,3240,0,1,3242,17040,0.01704
3640,300,40,12000,2,29126,7283,1,9996800,9996800,10921,3640,7281,3640,0,1,3642,20933,0.020933
4040,300,40,12000,2,32326,8083,1,11084800,11084800,12121,4040,8081,4040,0,1,4042,21036,0.021036
4440,300,40,12000,2,35526,8883,1,12172800,12172800,13321,4440,8881,4440,0,1,4442,25659,0.025659
4840,300,40,12000,2,38726,9683,1,13260800,13260800,14521,4840,9681,4840,0,1,4842,24063,0.024063
5240,300,40,12000,2,41926,10483,1,14348800,14348800,15721,5240,10481,5240,0,1,5242,7287,0.007287
5640,300,40,12000,2,45126,11283,1,15436800,15436800,16921,5640,11281,5640,0,1,5642,28143,0.028143
6040,300,40,12000,2,48326,12083,1,16524800,16524800,18121,6040,12081,6040,0,1,6042,30619,0.030619
6440,300,40,12000,2,51526,12883,1,17612800,17612800,19321,6440,12881,6440,0,1,6442,32116,0.032116
6840,300,40,12000,2,54726,13683,1,18700800,18700800,20521,6840,13681,6840,0,1,6842,35826,0.035826
40,50,340,17000,2,326,83,1,260800,260800,121,40,81,40,0,1,42,3791,0.003791
440,50,340,17000,2,3526,883,1,1508800,1508800,1321,440,881,440,0,1,442,5182,0.005182
840,50,340,17000,2,6726,1683,1,2756800,2756800,2521,840,1681,840,0,1,842,14508,0.014508
