Kernel, Architechture, Vendor, No of CPUs, Cycle(MHz), L1(KB), L2(KB), L3(KB), RAM(GB), Available Threads, Num Iterations, varDecl, refExpr, intLiteral, floatLiteral, add_int, add_float, sub_int, sub_float, mul_int, mul_float, div_int, div_float, rem_int, rem_float, shl_int, shl_float, shr_int, shr_float, assign_int, assign_float, mulAssign_int, mulAssign_float, divAssign_int, divAssign_float, remAssign_int, remAssign_float, addAssign_int, addAssign_float, subAssign_int, subAssign_float, shlAssign_int, shlAssign_float, shrAssign_int, shrAssign_float, postInc_int, postInc_float, postDec_int, postDec_float, preInc_int, preInc_float, preDec_int, preDec_float,Execution Time
kernel_100_100_1_5_9_0,x86_64,Intel,144,2094,32,256,46080,3023.79,12,100,301,2,302,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.183
kernel_100_100_1_5_9_1,x86_64,Intel,144,2094,32,256,46080,3023.79,12,100,301,1502,502,100,200,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0.000
kernel_100_100_1_5_9_2,x86_64,Intel,144,2094,32,256,46080,3023.79,12,100,301,3920,502,100,0,0,0,0,603,0,0,0,0,0,0,0,0,0,703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0.001
kernel_100_100_1_5_9_3,x86_64,Intel,144,2094,32,256,46080,3023.79,12,100,301,5420,702,100,200,0,0,0,603,0,0,0,0,0,0,0,0,0,1003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0.002
kernel_100_100_1_5_9_4,x86_64,Intel,144,2094,32,256,46080,3023.79,12,100,301,4330,502,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,1007,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0.000
kernel_100_100_1_5_9_5,x86_64,Intel,144,2094,32,256,46080,3023.79,12,100,301,5830,702,100,200,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,1007,0,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0.009
kernel_100_100_1_5_9_6,x86_64,Intel,144,2094,32,256,46080,3023.79,12,100,301,8248,702,100,0,0,0,0,603,0,0,0,0,0,0,0,0,0,803,0,0,0,0,0,0,0,1007,0,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0.002
kernel_100_100_1_5_9_7,x86_64,Intel,144,2094,32,256,46080,3023.79,12,100,301,9748,902,100,200,0,0,0,603,0,0,0,0,0,0,0,0,0,1103,0,0,0,0,0,0,0,1007,0,0,0,0,0,0,0,301,0,0,0,0,0,0,0,0.002
kernel_100_100_1_5_9_8,x86_64,Intel,144,2094,32,256,46080,3023.79,12,100,301,1502,502,100,0,200,0,0,0,0,0,0,0,0,0,0,0,0,100,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0.001
kernel_100_100_1_5_9_9,x86_64,Intel,144,2094,32,256,46080,3023.79,12,100,301,3002,702,100,200,200,0,0,0,0,0,0,0,0,0,0,0,0,400,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0.003
